City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jamestown,US,71.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
1,Mashhad,IR,71.74,clear sky,36.297,59.6062,Khanye Sabz Hotel
3,Newberry,US,74.14,light rain,34.2746,-81.6187,Hampton Inn Newberry-Opera House
4,Surdulica,RS,67.69,overcast clouds,42.6906,22.1708,Apartmani Park 2016
10,Vacha,RU,63.81,broken clouds,55.8008,42.7706,Dom Druga
12,Saint-Philippe,RE,69.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Arraial Do Cabo,BR,66.13,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
16,Margate,GB,64.96,clear sky,51.3813,1.3862,Premier Inn Margate hotel
18,Lourdes,FR,66.94,few clouds,43.1,-0.05,"Hôtel Saint Etienne, Lourdes"
19,Camacha,PT,68.54,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
28,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
30,Peniche,PT,65.73,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
32,Ponta Do Sol,PT,72.01,clear sky,32.6667,-17.1,Hotel do Campo
33,Chaykovskaya,RU,62.49,broken clouds,58.1279,55.5378,Dom Perm
35,Burdur,TR,61.5,clear sky,37.7203,30.2908,Alya Hotel
36,Ust-Kulom,RU,64.27,scattered clouds,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
38,Saint-Felicien,CA,68.68,haze,48.6501,-72.4491,Hôtel du Jardin
39,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Torbay,CA,64.27,overcast clouds,47.6666,-52.7314,Gallows Cove
42,Gallipoli,TR,72.72,clear sky,40.4103,26.6708,Oya Hotel
47,Jumla,NP,63.93,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
49,Sao Filipe,CV,74.39,broken clouds,14.8961,-24.4956,Hotel Xaguate
50,Faya,SA,62.71,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
52,Morondava,MG,69.31,scattered clouds,-20.2833,44.2833,La Case Bambou
53,Ribeira Grande,PT,70.21,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
54,Touros,BR,74.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
60,Kutum,SD,73.44,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
61,Uige,AO,61.18,few clouds,-7.6087,15.0613,Hotel Catraio
63,Sao Joao Da Barra,BR,65.14,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
66,Carnarvon,AU,66.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
70,Shedok,RU,68.0,clear sky,44.2179,40.8487,Sokol Kavkaz Baza Otdykha
72,Tokmak,UA,75.0,clear sky,47.2514,35.7058,Дом приезжих
73,Ambrolauri,GE,66.9,clear sky,42.5211,43.1622,Chateau Dio
75,Sambava,MG,69.49,light rain,-14.2667,50.1667,Melrose
77,Nkhotakota,MW,64.22,clear sky,-12.9274,34.2961,Sitima Inn
78,Warri,NG,74.25,overcast clouds,5.5167,5.75,BON Hotel Delta
82,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
84,Gornoye Loo,RU,71.38,clear sky,43.7129,39.6049,«ВатерЛоо» гостиница
85,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
87,Gemena,CD,69.93,overcast clouds,3.25,19.7667,Hôtel Goshen
91,Pombas,CV,74.98,broken clouds,17.1503,-25.0201,Paul Paradis
95,Teguldet,RU,65.62,few clouds,57.3064,88.1667,
97,Jaguarari,BR,64.63,clear sky,-10.2639,-40.1958,Hotel Quintal De Casa
99,Cap Malheureux,MU,70.29,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
104,Cururupu,BR,73.92,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
105,Thompson,CA,69.96,few clouds,55.7435,-97.8558,Burntwood Hotel
106,Bridlington,GB,62.15,scattered clouds,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
107,Pangoa,PE,64.49,broken clouds,-12.1167,-73.0,
113,Spoleto,IT,67.78,clear sky,42.7448,12.7374,Hotel dei Duchi - Spoleto
115,Zlatoust,RU,62.13,few clouds,55.1711,59.6508,Bellmont
117,Bestobe,KZ,68.41,overcast clouds,52.4994,73.0975,
119,Santa Maria Da Vitoria,BR,73.71,clear sky,-13.3947,-44.1886,Pousada Rio Current
124,Stalowa Wola,PL,65.41,scattered clouds,50.5829,22.0533,Apartamenty FLOOM Popiełuszki 39
126,Vizinga,RU,60.15,broken clouds,61.0749,50.1031,"Gostinitsa ""Nadezhda"""
127,Mahajanga,MG,73.42,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
129,Ibipeba,BR,66.16,clear sky,-11.6408,-42.0111,Quitanda santos
132,Hauterive,FR,60.76,clear sky,46.0901,3.4459,Aletti Palace Hotel
135,Moanda,GA,70.79,broken clouds,-1.5575,13.2178,Heliconia Stadium Moanda
138,Ville-Marie,CA,68.0,moderate rain,47.3335,-79.433,La Bannik
140,Boddam,GB,61.43,overcast clouds,57.4667,-1.7833,Palace Hotel
145,Vila Velha,BR,67.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
152,Tiznit,MA,74.08,clear sky,29.5833,-9.5,
160,Beloha,MG,67.98,overcast clouds,-25.1667,45.05,
163,State College,US,74.59,scattered clouds,40.7934,-77.86,Hampton Inn State College
