City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-07-19 15:46:59,-33.9258,18.4232,56.1,92,90,3.0
1,Genc,TR,2021-07-19 15:46:59,38.7507,40.5603,94.05,15,2,8.37
2,Lebu,CL,2021-07-19 15:46:59,-37.6167,-73.65,54.88,66,47,13.78
3,Saint-Augustin,CA,2021-07-19 15:47:00,51.226,-58.6502,74.52,50,100,16.15
4,Souillac,MU,2021-07-19 15:47:00,-20.5167,57.5167,73.36,78,75,16.11
5,Ushuaia,AR,2021-07-19 15:45:20,-54.8,-68.3,42.46,70,40,0.0
6,Olgod,DK,2021-07-19 15:47:01,55.8068,8.6286,70.05,69,70,14.07
7,Dikson,RU,2021-07-19 15:47:01,73.5069,80.5464,38.08,80,1,7.49
8,Bambous Virieux,MU,2021-07-19 15:47:01,-20.3428,57.7575,73.22,78,75,16.11
9,Axim,GH,2021-07-19 15:47:02,4.8699,-2.2405,77.54,76,100,7.74
10,Marawi,PH,2021-07-19 15:47:02,7.9986,124.2928,71.65,81,100,4.25
11,Ribeira Grande,PT,2021-07-19 15:47:10,38.5167,-28.7,73.8,83,40,16.11
12,Bathsheba,BB,2021-07-19 15:47:10,13.2167,-59.5167,86.61,70,40,26.46
13,Arlit,NE,2021-07-19 15:47:11,18.7369,7.3853,107.13,13,99,3.22
14,Jamestown,US,2021-07-19 15:45:00,42.097,-79.2353,78.12,71,75,3.0
15,Batabano,CU,2021-07-19 15:47:11,22.7164,-82.2881,86.61,62,80,9.69
16,Nouadhibou,MR,2021-07-19 15:47:11,20.931,-17.0347,75.18,78,74,23.02
17,Jiwani,PK,2021-07-19 15:47:12,25.05,61.7417,86.29,85,92,18.1
18,Hithadhoo,MV,2021-07-19 15:47:12,-0.6,73.0833,83.21,67,100,4.83
19,Arraial Do Cabo,BR,2021-07-19 15:47:12,-22.9661,-42.0278,71.56,60,75,13.8
20,Berlevag,NO,2021-07-19 15:47:13,70.8578,29.0864,53.6,72,81,16.64
21,Plerin,FR,2021-07-19 15:47:13,48.5425,-2.7798,85.75,66,0,7.0
22,Matagami,CA,2021-07-19 15:47:13,49.7502,-77.6328,57.31,67,90,2.3
23,Coquimbo,CL,2021-07-19 15:43:36,-29.9533,-71.3436,53.33,66,0,11.5
24,Bredasdorp,ZA,2021-07-19 15:47:14,-34.5322,20.0403,56.52,82,99,8.05
25,Comodoro Rivadavia,AR,2021-07-19 15:47:14,-45.8667,-67.5,57.06,62,40,1.14
26,Punta Arenas,CL,2021-07-19 15:47:15,-53.15,-70.9167,44.71,65,40,11.5
27,Saint-Francois,FR,2021-07-19 15:47:15,46.4154,3.9054,85.44,35,0,14.97
28,Hermanus,ZA,2021-07-19 15:47:15,-34.4187,19.2345,53.8,83,98,12.5
29,Qaanaaq,GL,2021-07-19 15:47:16,77.484,-69.3632,37.4,85,50,3.36
30,Mkushi,ZM,2021-07-19 15:47:16,-13.6202,29.3939,63.79,40,34,8.03
31,Mahebourg,MU,2021-07-19 15:47:16,-20.4081,57.7,73.26,78,75,16.11
32,Luderitz,NA,2021-07-19 15:47:17,-26.6481,15.1594,63.43,64,3,12.21
33,Victoria,HK,2021-07-19 15:42:52,22.2855,114.1577,82.38,91,100,5.99
34,Tasiilaq,GL,2021-07-19 15:47:17,65.6145,-37.6368,50.16,91,100,10.22
35,Cayenne,GF,2021-07-19 15:47:17,4.9333,-52.3333,80.64,86,75,1.99
36,Mango,US,2021-07-19 15:47:18,27.9797,-82.3065,91.96,75,75,1.99
37,Muyezerskiy,RU,2021-07-19 15:47:18,63.9333,31.65,63.48,47,89,9.15
38,Rocha,UY,2021-07-19 15:47:18,-34.4833,-54.3333,53.08,65,88,15.21
39,Swabi,PK,2021-07-19 15:47:19,34.1199,72.4699,80.02,81,100,3.94
40,Gunzenhausen,DE,2021-07-19 15:47:19,49.1,10.75,80.19,65,15,8.59
