City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,2021-07-20 01:50:21,42.097,-79.2353,71.24,78,1,6.91,clear sky
1,Mashhad,IR,2021-07-20 01:50:46,36.297,59.6062,71.74,35,0,4.61,clear sky
2,Gao,ML,2021-07-20 01:50:46,16.6362,1.637,89.02,35,100,16.35,overcast clouds
3,Newberry,US,2021-07-20 01:50:46,34.2746,-81.6187,74.14,97,100,3.38,light rain
4,Surdulica,RS,2021-07-20 01:50:47,42.6906,22.1708,67.69,99,90,3.0,overcast clouds
5,Codrington,AU,2021-07-20 01:50:47,-38.2667,141.9667,49.21,62,100,28.66,overcast clouds
6,Viedma,AR,2021-07-20 01:50:47,-40.8135,-62.9967,49.12,31,45,9.37,scattered clouds
7,Shadegan,IR,2021-07-20 01:50:48,30.6497,48.6647,91.35,54,24,5.75,few clouds
8,Cape Town,ZA,2021-07-20 01:45:52,-33.9258,18.4232,53.11,87,75,1.99,light rain
9,Tazovskiy,RU,2021-07-20 01:50:48,67.4667,78.7,52.27,61,6,4.7,clear sky
10,Vacha,RU,2021-07-20 01:50:49,55.8008,42.7706,63.81,95,57,4.5,broken clouds
11,Ushuaia,AR,2021-07-20 01:50:49,-54.8,-68.3,38.86,81,20,2.3,few clouds
12,Saint-Philippe,RE,2021-07-20 01:50:50,-21.3585,55.7679,69.39,74,69,15.37,broken clouds
13,Arraial Do Cabo,BR,2021-07-20 01:50:50,-22.9661,-42.0278,66.13,58,25,27.07,scattered clouds
14,Hithadhoo,MV,2021-07-20 01:47:12,-0.6,73.0833,81.14,73,76,5.91,broken clouds
15,Olinda,BR,2021-07-20 01:50:50,-8.0089,-34.8553,76.73,69,90,4.61,overcast clouds
16,Margate,GB,2021-07-20 01:47:28,51.3813,1.3862,64.96,93,5,8.19,clear sky
17,Dikson,RU,2021-07-20 01:50:51,73.5069,80.5464,40.26,78,22,7.54,few clouds
18,Lourdes,FR,2021-07-20 01:50:51,43.1,-0.05,66.94,94,20,5.75,few clouds
19,Camacha,PT,2021-07-20 01:50:51,33.0833,-16.3333,68.54,68,75,8.05,broken clouds
20,Hermanus,ZA,2021-07-20 01:50:52,-34.4187,19.2345,51.91,84,100,1.63,light rain
21,Cidreira,BR,2021-07-20 01:50:52,-30.1811,-50.2056,50.2,76,77,13.35,broken clouds
22,Qaanaaq,GL,2021-07-20 01:50:52,77.484,-69.3632,38.1,79,99,2.15,overcast clouds
23,Maua,BR,2021-07-20 01:50:53,-23.6678,-46.4614,52.09,54,57,2.53,broken clouds
24,Victoria,HK,2021-07-20 01:47:36,22.2855,114.1577,80.94,95,100,5.99,moderate rain
25,Comodoro Rivadavia,AR,2021-07-20 01:50:35,-45.8667,-67.5,58.86,44,0,12.66,clear sky
26,Georgetown,MY,2021-07-20 01:47:10,5.4112,100.3354,85.93,83,20,0.0,haze
27,Monrovia,LR,2021-07-20 01:50:55,6.3005,-10.7969,76.77,85,99,12.71,light rain
28,Vila Franca Do Campo,PT,2021-07-20 01:47:24,37.7167,-25.4333,70.21,88,92,10.76,overcast clouds
29,Clyde River,CA,2021-07-20 01:50:56,70.4692,-68.5914,37.63,81,90,5.75,overcast clouds
30,Peniche,PT,2021-07-20 01:50:56,39.3558,-9.3811,65.73,83,100,17.02,overcast clouds
31,Khakhea,BW,2021-07-20 01:50:56,-24.6895,23.494,42.8,45,0,9.46,clear sky
32,Ponta Do Sol,PT,2021-07-20 01:50:57,32.6667,-17.1,72.01,78,1,4.79,clear sky
33,Chaykovskaya,RU,2021-07-20 01:50:57,58.1279,55.5378,62.49,80,58,3.62,broken clouds
34,East London,ZA,2021-07-20 01:47:27,-33.0153,27.9116,59.14,81,39,7.54,scattered clouds
35,Burdur,TR,2021-07-20 01:50:57,37.7203,30.2908,61.5,51,0,1.14,clear sky
36,Ust-Kulom,RU,2021-07-20 01:50:58,61.6864,53.6902,64.27,83,37,6.11,scattered clouds
37,Nouadhibou,MR,2021-07-20 01:50:58,20.931,-17.0347,78.78,65,98,14.97,overcast clouds
38,Saint-Felicien,CA,2021-07-20 01:46:17,48.6501,-72.4491,68.68,68,90,9.22,haze
39,Mahebourg,MU,2021-07-20 01:47:09,-20.4081,57.7,70.09,68,40,12.66,scattered clouds
40,Stornoway,GB,2021-07-20 01:50:59,58.2093,-6.3865,57.16,94,90,4.61,overcast clouds
41,Torbay,CA,2021-07-20 01:50:59,47.6666,-52.7314,64.27,83,90,10.36,overcast clouds
42,Gallipoli,TR,2021-07-20 01:50:59,40.4103,26.6708,72.72,76,0,4.16,clear sky
43,Eidsvag,NO,2021-07-20 01:51:00,62.7767,8.0668,54.25,93,100,4.41,overcast clouds
44,Bathsheba,BB,2021-07-20 01:51:00,13.2167,-59.5167,81.21,78,40,21.85,scattered clouds
45,Calamar,CO,2021-07-20 01:51:00,10.2511,-74.9146,82.35,87,71,3.0,broken clouds
46,Mar Del Plata,AR,2021-07-20 01:51:00,-38.0023,-57.5575,48.99,69,0,3.0,clear sky
47,Jumla,NP,2021-07-20 01:51:01,29.2747,82.1838,63.93,92,100,2.62,overcast clouds
48,Upernavik,GL,2021-07-20 01:47:18,72.7868,-56.1549,40.93,97,100,6.02,light rain
49,Sao Filipe,CV,2021-07-20 01:51:01,14.8961,-24.4956,74.39,86,57,9.22,broken clouds
50,Faya,SA,2021-07-20 01:51:01,18.3851,42.4509,62.71,65,100,12.8,overcast clouds
51,Punta Arenas,CL,2021-07-20 01:51:02,-53.15,-70.9167,39.31,81,0,23.02,clear sky
52,Morondava,MG,2021-07-20 01:51:02,-20.2833,44.2833,69.31,73,33,4.21,scattered clouds
53,Ribeira Grande,PT,2021-07-20 01:51:03,38.5167,-28.7,70.21,87,95,23.2,overcast clouds
54,Touros,BR,2021-07-20 01:51:03,-5.1989,-35.4608,74.3,80,10,15.12,clear sky
55,Saint Anthony,US,2021-07-20 01:51:03,45.0205,-93.218,83.82,60,1,1.99,clear sky
56,Longyearbyen,SJ,2021-07-20 01:47:43,78.2186,15.6401,42.64,75,75,6.91,broken clouds
57,Busselton,AU,2021-07-20 01:51:04,-33.65,115.3333,55.04,79,100,16.51,overcast clouds
58,Santiago,CL,2021-07-20 01:48:00,-33.4569,-70.6483,59.85,32,0,1.14,clear sky
59,Manaure,CO,2021-07-20 01:51:04,11.7751,-72.4445,82.58,70,2,19.48,clear sky
60,Kutum,SD,2021-07-20 01:51:04,14.2,24.6667,73.44,69,71,14.45,broken clouds
61,Uige,AO,2021-07-20 01:51:05,-7.6087,15.0613,61.18,70,23,3.53,few clouds
62,Altay,CN,2021-07-20 01:51:05,47.8667,88.1167,77.72,25,13,2.1,few clouds
63,Sao Joao Da Barra,BR,2021-07-20 01:51:05,-21.6403,-41.0511,65.14,53,44,15.77,scattered clouds
64,Nanortalik,GL,2021-07-20 01:47:17,60.1432,-45.2371,41.77,91,30,10.29,scattered clouds
65,Vardo,NO,2021-07-20 01:51:06,70.3705,31.1107,45.05,72,95,16.98,overcast clouds
66,Carnarvon,AU,2021-07-20 01:51:06,-24.8667,113.6333,66.27,78,74,10.36,broken clouds
67,Port Alfred,ZA,2021-07-20 01:51:00,-33.5906,26.891,58.44,87,100,8.93,overcast clouds
68,Miranda,CO,2021-07-20 01:51:07,3.2499,-76.2281,75.33,68,12,6.4,few clouds
69,Vila Do Maio,CV,2021-07-20 01:51:07,15.1333,-23.2167,75.99,88,10,17.27,clear sky
70,Shedok,RU,2021-07-20 01:51:07,44.2179,40.8487,68.0,45,0,5.01,clear sky
